time,gFx,gFy,gFz,TgF
0.003273438,-0.1034,0.9632,0.2665,1.005
0.003592292,-0.1039,0.9646,0.2673,1.006
0.003764167,-0.1000,0.9641,0.2663,1.005
0.003938334,-0.0980,0.9644,0.2663,1.005
0.004078907,-0.0963,0.9666,0.2675,1.008
0.006877396,-0.0966,0.9646,0.2726,1.007
0.016744636,-0.0963,0.9676,0.2724,1.010
0.017047344,-0.0956,0.9661,0.2785,1.010
0.017193907,-0.0936,0.9676,0.2780,1.011
0.01733849,-0.0924,0.9673,0.2822,1.012
0.017482448,-0.0897,0.9637,0.2851,1.009
0.019667761,-0.0892,0.9632,0.2905,1.010
0.022559948,-0.0861,0.9590,0.2924,1.006
0.02973948,-0.0853,0.9570,0.2971,1.006
0.030043282,-0.0809,0.9544,0.2998,1.004
0.030202969,-0.0822,0.9512,0.3076,1.003
0.03248224,-0.0817,0.9458,0.3176,1.001
0.032870521,-0.0812,0.9522,0.3081,1.004
0.036609688,-0.0841,0.9568,0.3029,1.007
0.038573282,-0.0880,0.9573,0.3032,1.008
0.042228594,-0.0910,0.9526,0.3003,1.003
0.04306,-0.0892,0.9461,0.2995,0.996
0.044609896,-0.0929,0.9397,0.3012,0.991
0.0501075,-0.0993,0.9456,0.3015,0.997
0.050377761,-0.1051,0.9531,0.3034,1.006
0.052457709,-0.1185,0.9573,0.3015,1.011
0.059737344,-0.1264,0.9561,0.3020,1.011
0.060074271,-0.1315,0.9556,0.3017,1.011
0.060249271,-0.1376,0.9531,0.2956,1.007
0.061471928,-0.1432,0.9573,0.2949,1.012
0.068592448,-0.1410,0.9553,0.2956,1.010
0.069382032,-0.1357,0.9568,0.2971,1.011
0.069694167,-0.1242,0.9473,0.2986,1.001
0.071298021,-0.1251,0.9468,0.2976,1.000
0.081122917,-0.1217,0.9463,0.2986,1.000
0.081723282,-0.1256,0.9456,0.2964,0.999
0.082033334,-0.1315,0.9536,0.3003,1.008
0.082372448,-0.1371,0.9565,0.3027,1.013
0.08269198,-0.1374,0.9568,0.3008,1.012
0.088499636,-0.1371,0.9612,0.3022,1.017
0.08915198,-0.1415,0.9666,0.3005,1.022
0.091995417,-0.1386,0.9661,0.2986,1.021
0.092389219,-0.1405,0.9637,0.2973,1.018
0.094030209,-0.1344,0.9620,0.2976,1.016
0.101871459,-0.1352,0.9529,0.2927,1.006
0.102635834,-0.1344,0.9536,0.2903,1.006
0.103049948,-0.1337,0.9551,0.2900,1.007
0.103364219,-0.1337,0.9492,0.2868,1.001
0.109140782,-0.1313,0.9482,0.2848,0.999
0.10951599,-0.1322,0.9478,0.2846,0.998
0.11085849,-0.1313,0.9480,0.2844,0.998
0.112854115,-0.1290,0.9448,0.2851,0.995
0.11702448,-0.1251,0.9439,0.2848,0.994
0.119048021,-0.1256,0.9465,0.2834,0.996
0.124573178,-0.1246,0.9463,0.2812,0.995
0.124952136,-0.1242,0.9480,0.2829,0.997
0.125417448,-0.1232,0.9461,0.2831,0.995
0.1272575,-0.1188,0.9424,0.2831,0.991
0.131065678,-0.1168,0.9385,0.2856,0.988
0.131450313,-0.1100,0.9377,0.2861,0.987
0.133798178,-0.1076,0.9343,0.2903,0.984
0.136810157,-0.1083,0.9338,0.2927,0.985
0.139334063,-0.1095,0.9336,0.2964,0.986
0.141529896,-0.1071,0.9351,0.2981,0.987
0.143338594,-0.1102,0.9365,0.2990,0.989
0.145865105,-0.1088,0.9373,0.3015,0.991
0.148221459,-0.1110,0.9397,0.3037,0.994
0.151014428,-0.1146,0.9397,0.3054,0.995
0.154343178,-0.1163,0.9458,0.3066,1.001
0.164419688,-0.1178,0.9495,0.3115,1.006
0.16507724,-0.1217,0.9470,0.3152,1.005
0.165468438,-0.1215,0.9509,0.3142,1.009
0.165815157,-0.1244,0.9522,0.3161,1.011
0.166693855,-0.1256,0.9539,0.3188,1.014
0.167919532,-0.1256,0.9519,0.3203,1.012
0.169677396,-0.1234,0.9509,0.3205,1.011
0.176520938,-0.1207,0.9522,0.3220,1.012
0.177029792,-0.1254,0.9492,0.3225,1.010
0.17727974,-0.1271,0.9504,0.3203,1.011
0.184726875,-0.1308,0.9509,0.3210,1.012
0.185100573,-0.1300,0.9478,0.3235,1.010
0.185263021,-0.1349,0.9465,0.3215,1.009
0.186036094,-0.1376,0.9436,0.3220,1.006
0.192651042,-0.1347,0.9441,0.3196,1.006
0.193009011,-0.1354,0.9414,0.3227,1.004
0.193154323,-0.1381,0.9402,0.3222,1.003
0.197063073,-0.1359,0.9402,0.3186,1.002
0.197782188,-0.1376,0.9385,0.3191,1.001
0.200467344,-0.1403,0.9392,0.3181,1.001
0.2025375,-0.1381,0.9351,0.3198,0.998
0.206913542,-0.1310,0.9382,0.3183,0.999
0.208229011,-0.1322,0.9338,0.3181,0.995
0.20914349,-0.1305,0.9375,0.3198,0.999
0.211419427,-0.1330,0.9387,0.3215,1.001
0.214146875,-0.1364,0.9404,0.3239,1.004
0.216356771,-0.1349,0.9387,0.3217,1.001
0.218672136,-0.1376,0.9377,0.3203,1.000
0.221543907,-0.1344,0.9385,0.3186,1.000
0.223154844,-0.1391,0.9399,0.3174,1.002
0.225505677,-0.1410,0.9387,0.3134,1.000
0.228053282,-0.1393,0.9421,0.3152,1.003
0.230131355,-0.1408,0.9417,0.3120,1.002
0.232488386,-0.1457,0.9468,0.3098,1.007
0.235049167,-0.1467,0.9492,0.3110,1.010
0.237984219,-0.1440,0.9458,0.3076,1.005
0.240856615,-0.1410,0.9482,0.3056,1.006
0.241972865,-0.1386,0.9539,0.3032,1.010
0.244327605,-0.1401,0.9570,0.2990,1.012
