time,gFx,gFy,gFz,TgF
0.003000209,-0.0355,0.9717,0.2162,0.996
0.003357032,-0.0272,0.9695,0.2155,0.994
0.003606719,-0.0201,0.9588,0.2057,0.981
0.003839688,-0.0162,0.9539,0.2116,0.977
0.004135417,0.0078,0.9436,0.1945,0.963
0.010726302,-0.0040,0.9524,0.2162,0.977
0.011409844,-0.0108,0.9517,0.2306,0.979
0.012526979,-0.0096,0.9541,0.2233,0.980
0.020153698,-0.0132,0.9578,0.2226,0.983
0.020770365,-0.0167,0.9583,0.2287,0.985
0.021104063,-0.0186,0.9588,0.2221,0.984
0.021647084,-0.0162,0.9622,0.2235,0.988
0.030608646,-0.0106,0.9590,0.2194,0.984
0.031182136,-0.0150,0.9615,0.2243,0.987
0.031514844,-0.0093,0.9595,0.2245,0.985
0.031838177,-0.0035,0.9610,0.2265,0.987
0.033463542,-0.0027,0.9590,0.2346,0.987
0.035459323,0.0026,0.9590,0.2353,0.987
0.039044896,0.0095,0.9593,0.2402,0.989
0.040286615,0.0143,0.9570,0.2465,0.988
0.042291042,0.0161,0.9548,0.2502,0.987
0.044990938,0.0222,0.9490,0.2621,0.985
0.047301979,0.0207,0.9500,0.2700,0.988
0.049815052,0.0270,0.9451,0.2643,0.982
0.052835365,0.0317,0.9475,0.2619,0.984
0.053534479,0.0319,0.9473,0.2651,0.984
0.055824479,0.0351,0.9407,0.2682,0.979
0.059020104,0.0375,0.9373,0.2692,0.976
0.061712344,0.0439,0.9412,0.2636,0.978
0.064217552,0.0405,0.9412,0.2663,0.979
0.066377709,0.0451,0.9412,0.2690,0.980
0.068430625,0.0412,0.9434,0.2761,0.984
0.070400365,0.0439,0.9399,0.2756,0.980
0.072343229,0.0425,0.9370,0.2726,0.977
0.075381563,0.0422,0.9392,0.2805,0.981
0.078454323,0.0397,0.9395,0.2814,0.982
0.080550834,0.0427,0.9421,0.2827,0.985
0.082943229,0.0434,0.9468,0.2834,0.989
0.084142188,0.0439,0.9446,0.2888,0.989
0.087165469,0.0444,0.9475,0.2824,0.990
0.088802657,0.0439,0.9522,0.2858,0.995
0.091729896,0.0410,0.9546,0.2870,0.998
0.101315,0.0397,0.9563,0.2853,0.999
0.102430052,0.0385,0.9610,0.2829,1.002
0.102910625,0.0366,0.9661,0.2841,1.008
0.103378386,0.0351,0.9676,0.2834,1.009
0.103842552,0.0346,0.9673,0.2827,1.008
0.106064479,0.0329,0.9666,0.2812,1.007
0.108195,0.0324,0.9693,0.2792,1.009
0.115108386,0.0305,0.9685,0.2773,1.008
0.115630052,0.0266,0.9663,0.2765,1.005
0.116048959,0.0246,0.9673,0.2729,1.005
0.116985052,0.0253,0.9725,0.2687,1.009
0.120448438,0.0214,0.9749,0.2685,1.011
0.121894063,0.0197,0.9781,0.2658,1.014
0.124588802,0.0204,0.9810,0.2634,1.016
0.127642865,0.0153,0.9795,0.2685,1.016
0.128654532,0.0114,0.9788,0.2722,1.016
0.131674532,0.0095,0.9810,0.2673,1.017
0.135832188,0.0063,0.9829,0.2682,1.019
0.136251407,0.0043,0.9827,0.2714,1.020
0.138374584,0.0046,0.9837,0.2758,1.022
0.141435052,-0.0008,0.9854,0.2746,1.023
0.144284688,-0.0062,0.9864,0.2790,1.025
0.146013438,-0.0069,0.9891,0.2822,1.029
0.148663386,-0.0076,0.9864,0.2827,1.026
0.150168542,-0.0086,0.9839,0.2844,1.024
0.153028386,-0.0089,0.9849,0.2870,1.026
0.15471349,-0.0130,0.9869,0.2912,1.029
0.157870729,-0.0142,0.9861,0.2895,1.028
0.160895834,-0.0125,0.9849,0.2915,1.027
0.161990417,-0.0115,0.9859,0.2924,1.028
0.164557188,-0.0110,0.9822,0.2924,1.025
0.169620677,-0.0103,0.9839,0.2927,1.027
0.170142761,-0.0091,0.9795,0.2944,1.023
0.170983073,-0.0147,0.9805,0.2934,1.024
0.173931979,-0.0145,0.9812,0.2968,1.025
0.177767709,-0.0103,0.9786,0.2971,1.023
0.179023021,-0.0120,0.9722,0.2964,1.016
0.180355677,-0.0125,0.9693,0.2973,1.014
0.182518907,-0.0091,0.9671,0.2951,1.011
0.185517917,-0.0093,0.9644,0.2939,1.008
0.18801099,-0.0103,0.9610,0.2937,1.005
0.190164584,-0.0084,0.9551,0.2954,1.000
0.192146823,-0.0108,0.9541,0.2937,0.998
0.200503854,-0.0079,0.9529,0.2939,0.997
0.201584115,-0.0098,0.9529,0.2932,0.997
0.201929323,-0.0081,0.9495,0.2907,0.993
0.202288802,-0.0059,0.9458,0.2910,0.990
0.206403125,-0.0067,0.9439,0.2946,0.989
0.2070225,-0.0093,0.9443,0.2912,0.988
0.214530209,-0.0049,0.9446,0.2907,0.988
0.215250781,-0.0054,0.9421,0.2898,0.986
0.215593959,-0.0059,0.9417,0.2858,0.984
0.216107448,-0.0027,0.9446,0.2858,0.987
0.219256875,-0.0054,0.9417,0.2831,0.983
0.220313438,-0.0067,0.9451,0.2836,0.987
0.223271823,-0.0074,0.9473,0.2812,0.988
0.22561974,-0.0074,0.9451,0.2802,0.986
0.227977552,-0.0076,0.9470,0.2785,0.987
0.230225417,-0.0062,0.9441,0.2785,0.984
0.232526146,-0.0064,0.9387,0.2783,0.979
0.235036198,-0.0069,0.9419,0.2753,0.981
0.236609948,-0.0054,0.9395,0.2765,0.979
0.23965125,-0.0101,0.9360,0.2748,0.976
0.243700625,-0.0062,0.9382,0.2775,0.978
0.244452761,-0.0079,0.9360,0.2768,0.976
0.246699636,-0.0118,0.9370,0.2729,0.976
0.248754323,-0.0135,0.9404,0.2697,0.978
0.25158875,-0.0184,0.9409,0.2680,0.979
0.253000625,-0.0230,0.9461,0.2624,0.982
0.255690625,-0.0269,0.9482,0.2575,0.983
0.258204948,-0.0321,0.9541,0.2560,0.988
0.26044125,-0.0301,0.9583,0.2490,0.991
0.262849011,-0.0306,0.9595,0.2409,0.990
0.265055938,-0.0338,0.9627,0.2338,0.991
0.267962865,-0.0296,0.9678,0.2240,0.994
0.270614844,-0.0355,0.9712,0.2143,0.995
0.272108959,-0.0374,0.9756,0.2025,0.997
0.274770313,-0.0394,0.9803,0.1955,1.000
0.276838229,-0.0499,0.9864,0.1869,1.005
0.27926,-0.0589,0.9925,0.1784,1.010
0.281585156,-0.0545,0.9949,0.1789,1.012
0.284544323,-0.0421,0.9900,0.1818,1.007
0.286844115,-0.0387,0.9895,0.1815,1.007
0.288606771,-0.0394,0.9854,0.1754,1.002
0.291448854,-0.0370,0.9915,0.1745,1.007
0.293326146,-0.0392,0.9981,0.1771,1.014
0.29571724,-0.0450,0.9956,0.1791,1.013
0.298015261,-0.0470,0.9983,0.1813,1.016
0.30714474,-0.0504,0.9978,0.1864,1.016
0.307998802,-0.0504,0.9986,0.1911,1.018
0.308364636,-0.0497,1.0044,0.1942,1.024
0.308690209,-0.0553,1.0069,0.2006,1.028
0.316572344,-0.0577,1.0103,0.2050,1.032
0.317190677,-0.0536,1.0159,0.2111,1.039
0.318069375,-0.0570,1.0198,0.2162,1.044
0.318387709,-0.0558,1.0272,0.2218,1.052
0.31871224,-0.0577,1.0325,0.2284,1.059
0.321033073,-0.0628,1.0374,0.2291,1.064
0.324109531,-0.0699,1.0462,0.2294,1.073
0.326513646,-0.0812,1.0548,0.2294,1.082
0.328876615,-0.0839,1.0636,0.2265,1.091
0.332068646,-0.0839,1.0679,0.2221,1.094
0.333077084,-0.0582,1.0726,0.2260,1.098
0.335212865,-0.0460,1.0721,0.2245,1.096
0.338096875,-0.0450,1.0751,0.2184,1.098
0.340835573,-0.0467,1.0848,0.2187,1.108
0.343030261,-0.0477,1.0958,0.2191,1.119
0.345553542,-0.0497,1.0961,0.2143,1.118
0.348207969,-0.0511,1.1012,0.2111,1.122
0.349796667,-0.0489,1.1046,0.2055,1.125
0.351655261,-0.0462,1.0987,0.2047,1.119
0.354571354,-0.0436,1.1009,0.2038,1.120
0.35726474,-0.0394,1.1005,0.2023,1.120
0.359576042,-0.0367,1.0992,0.1996,1.118
0.361852084,-0.0367,1.0985,0.1977,1.117
0.364261146,-0.0362,1.0992,0.1972,1.117
0.365985938,-0.0355,1.0978,0.1933,1.115
0.36808125,-0.0431,1.0944,0.1937,1.112
0.370956042,-0.0414,1.0924,0.1879,1.109
0.375090469,-0.0448,1.0846,0.1857,1.101
0.375925209,-0.0536,1.0782,0.1847,1.095
0.378339896,-0.0567,1.0728,0.1876,1.091
0.379681563,-0.0638,1.0650,0.1828,1.082
0.382213959,-0.0658,1.0538,0.1815,1.071
0.384506302,-0.0739,1.0457,0.1815,1.064
0.388170781,-0.0829,1.0367,0.1813,1.056
0.389291198,-0.0919,1.0269,0.1784,1.046
0.392009688,-0.1010,1.0186,0.1784,1.039
0.393963073,-0.1078,1.0127,0.1798,1.034
0.396963177,-0.1168,1.0003,0.1815,1.023
0.399250729,-0.1295,0.9934,0.1808,1.018
0.401012344,-0.1371,0.9878,0.1796,1.013
0.403355886,-0.1454,0.9768,0.1818,1.004
0.406016406,-0.1596,0.9720,0.1830,1.002
0.415532813,-0.1694,0.9646,0.1815,0.996
0.41631599,-0.1767,0.9573,0.1837,0.991
0.416646458,-0.1882,0.9504,0.1859,0.987
0.416986979,-0.2002,0.9456,0.1894,0.985
0.417587917,-0.2070,0.9412,0.1940,0.983
0.419550781,-0.2177,0.9353,0.1935,0.980
0.424726042,-0.2285,0.9294,0.1937,0.977
