time,gFx,gFy,gFz,TgF
1.113287396,0.0613,-0.0416,0.9655,0.968
1.114382552,0.0661,-0.0446,0.9703,0.974
1.114877916,0.0661,-0.0424,0.9782,0.981
1.115441771,0.0681,-0.0453,0.9860,0.989
1.115854635,0.0686,-0.0448,0.9902,0.994
1.116263281,0.0720,-0.0455,0.9972,1.001
1.11895,0.0715,-0.0421,0.9994,1.003
1.124390573,0.0691,-0.0382,1.0028,1.006
1.124803854,0.0700,-0.0348,1.0011,1.004
1.127799687,0.0674,-0.0338,0.9980,1.001
1.128310468,0.0622,-0.0314,0.9980,1.000
1.130279323,0.0647,-0.0321,0.9963,0.999
1.13200151,0.0608,-0.0289,0.9985,1.001
1.136727187,0.0591,-0.0299,0.9967,0.999
1.138612239,0.0566,-0.0299,0.9987,1.001
1.141177812,0.0532,-0.0272,0.9999,1.002
1.14185026,0.0554,-0.0267,0.9997,1.002
1.144948489,0.0505,-0.0292,1.0014,1.003
1.146045521,0.0432,-0.0297,1.0065,1.008
1.148478021,0.0427,-0.0311,1.0055,1.007
1.152566666,0.0405,-0.0302,1.0068,1.008
1.154000885,0.0366,-0.0333,1.0112,1.012
1.156360104,0.0336,-0.0353,1.0116,1.013
1.157750468,0.0344,-0.0358,1.0090,1.010
1.16030375,0.0327,-0.0380,1.0119,1.013
1.162561041,0.0275,-0.0453,1.0087,1.010
1.167103125,0.0275,-0.0490,1.0102,1.012
1.170149375,0.0285,-0.0546,1.0072,1.009
1.170963906,0.0309,-0.0582,1.0082,1.010
1.172404218,0.0363,-0.0643,1.0072,1.010
1.174875573,0.0378,-0.0717,1.0048,1.008
1.178900885,0.0414,-0.0709,1.0075,1.011
1.179869271,0.0451,-0.0741,1.0060,1.010
1.181435,0.0493,-0.0763,1.0041,1.008
1.185336406,0.0532,-0.0751,0.9989,1.003
1.187022135,0.0552,-0.0744,1.0031,1.007
1.189384479,0.0554,-0.0712,1.0026,1.007
1.19088401,0.0600,-0.0712,1.0043,1.009
1.1937625,0.0581,-0.0702,1.0050,1.009
1.195614896,0.0586,-0.0617,1.0077,1.011
1.198307604,0.0605,-0.0636,1.0090,1.013
1.201599948,0.0615,-0.0602,1.0107,1.014
1.203627031,0.0608,-0.0570,1.0107,1.014
1.206399739,0.0617,-0.0543,1.0109,1.014
1.209698437,0.0620,-0.0546,1.0114,1.015
1.210323541,0.0620,-0.0531,1.0112,1.014
1.212758854,0.0639,-0.0514,1.0109,1.014
1.214254687,0.0598,-0.0475,1.0082,1.011
1.217779375,0.0598,-0.0477,1.0085,1.011
1.219885312,0.0561,-0.0504,1.0082,1.011
1.222463593,0.0561,-0.0485,1.0077,1.010
1.224122864,0.0515,-0.0509,1.0082,1.011
1.226727864,0.0505,-0.0458,1.0116,1.014
1.228538229,0.0456,-0.0468,1.0112,1.013
1.230702708,0.0456,-0.0472,1.0065,1.009
1.233383645,0.0439,-0.0470,1.0092,1.011
1.240332187,0.0407,-0.0465,1.0090,1.011
1.240974531,0.0371,-0.0485,1.0087,1.011
1.241632291,0.0356,-0.0431,1.0082,1.010
1.2482675,0.0336,-0.0433,1.0063,1.008
1.248811041,0.0266,-0.0458,1.0090,1.010
1.2497075,0.0268,-0.0453,1.0080,1.009
1.253762708,0.0231,-0.0448,1.0063,1.008
1.254592135,0.0195,-0.0426,1.0041,1.005
1.254990833,0.0207,-0.0414,1.0055,1.007
1.257117916,0.0173,-0.0460,1.0060,1.007
1.259638541,0.0207,-0.0470,1.0060,1.007
1.26118052,0.0219,-0.0463,1.0036,1.005
1.264037604,0.0214,-0.0468,1.0082,1.010
1.268543437,0.0207,-0.0512,1.0080,1.009
1.269096979,0.0251,-0.0465,1.0112,1.013
1.270662239,0.0258,-0.0477,1.0124,1.014
1.273112604,0.0256,-0.0524,1.0148,1.016
1.275843073,0.0329,-0.0531,1.0168,1.019
1.278435885,0.0361,-0.0568,1.0202,1.022
1.280091302,0.0339,-0.0563,1.0177,1.020
1.284325416,0.0351,-0.0546,1.0177,1.020
1.286058177,0.0390,-0.0565,1.0158,1.018
1.288232343,0.0385,-0.0543,1.0138,1.016
1.290023073,0.0375,-0.0563,1.0126,1.015
1.29330901,0.0353,-0.0541,1.0146,1.017
1.294480781,0.0380,-0.0526,1.0109,1.013
1.296604479,0.0395,-0.0512,1.0087,1.011
1.30092052,0.0400,-0.0541,1.0050,1.007
1.304161302,0.0410,-0.0524,1.0055,1.008
1.304998802,0.0449,-0.0529,1.0053,1.008
1.308111875,0.0459,-0.0504,1.0050,1.007
1.309044635,0.0439,-0.0512,1.0038,1.006
1.312206302,0.0473,-0.0494,1.0016,1.004
1.313021927,0.0454,-0.0480,0.9992,1.001
1.318101666,0.0456,-0.0477,0.9953,0.997
1.319086406,0.0483,-0.0487,0.9958,0.998
1.32007276,0.0512,-0.0450,0.9977,1.000
