gFx,gFy,gFz
0.1201,1.0159,0.0989
0.116,1.0308,0.1011
0.1109,1.0406,0.1033
0.1089,1.0491,0.1087
0.103,1.0604,0.1097
0.1025,1.0777,0.1148
0.0971,1.086,0.1151
0.0888,1.097,0.1192
0.0818,1.1039,0.121
0.0754,1.118,0.121
0.0652,1.1244,0.1234
0.062,1.1356,0.1275
0.0595,1.1471,0.1278
0.0549,1.152,0.1305
0.0527,1.1562,0.1302
0.0525,1.1591,0.131
0.0503,1.1689,0.1312
0.0515,1.1728,0.131
0.0527,1.1784,0.1288
0.0552,1.1808,0.1295
0.0593,1.183,0.128
0.061,1.1857,0.1266
0.0622,1.1845,0.1241
0.0639,1.1864,0.1214
0.0722,1.182,0.1202
0.083,1.1794,0.1207
0.0918,1.1818,0.1222
0.1013,1.183,0.1239
0.1174,1.1781,0.1236
0.1245,1.1772,0.1258
0.136,1.1823,0.1227
0.1431,1.1823,0.1253
0.1467,1.1859,0.1266
0.1485,1.1921,0.1249
0.1558,1.1948,0.1239
0.1604,1.1982,0.1241
0.1651,1.2043,0.1249
0.1807,1.2033,0.1239
0.1888,1.2094,0.1217
0.1966,1.2079,0.1163
0.2044,1.2089,0.1134
0.21,1.2153,0.1072
0.2098,1.2231,0.1016
0.2073,1.2267,0.0963
0.2085,1.2331,0.0914
0.2,1.2431,0.0853
0.1946,1.2505,0.0789
0.1902,1.261,0.0726
0.1854,1.2663,0.0689
0.1927,1.2722,0.0628
0.1968,1.2759,0.0601
0.212,1.2739,0.0643
0.2276,1.2722,0.0684
0.245,1.2666,0.0721
0.2596,1.2617,0.0806
0.2701,1.2573,0.0975
0.2701,1.2622,0.1124
0.2696,1.268,0.1275
0.2596,1.2824,0.1437
0.2313,1.3057,0.152
0.2037,1.3323,0.1551
0.1695,1.3567,0.1517
0.1453,1.3814,0.1928
0.1316,1.4105,0.1959
0.1235,1.4371,0.1933
0.1235,1.451,0.1859
0.1248,1.4605,0.1803
0.1297,1.4647,0.1752
0.1387,1.4688,0.1644
0.146,1.4696,0.1542
0.1487,1.4644,0.1439
0.1492,1.46,0.1295
0.1504,1.4483,0.1114
0.1406,1.4366,0.0892
0.124,1.4242,0.0635
0.1116,1.4141,0.0401
0.1045,1.4009,0.0147
0.1021,1.3917,-0.0117
0.1008,1.3719,-0.0374
0.105,1.356,-0.0628
0.1021,1.335,-0.0882
0.0903,1.3135,-0.1182
0.0766,1.2966,-0.1405
0.0552,1.2744,-0.1644
0.0373,1.2514,-0.182
0.0192,1.2316,-0.1952
0.0029,1.207,-0.2069
-0.0147,1.185,-0.2137
-0.0304,1.1647,-0.2152
-0.0436,1.1427,-0.2128
-0.0526,1.1249,-0.2103
-0.0624,1.1051,-0.2032
-0.0643,1.0843,-0.1962
-0.0675,1.0601,-0.1847
-0.0667,1.0416,-0.1737
-0.068,1.0181,-0.1627
-0.0667,0.9964,-0.1485
-0.0702,0.9749,-0.1346
-0.0711,0.9509,-0.1234
-0.078,0.9316,-0.1116
-0.0802,0.9072,-0.0999
-0.0878,0.8908,-0.0892
-0.0919,0.8713,-0.0804
-0.0968,0.8532,-0.073
-0.1032,0.8327,-0.0694
-0.109,0.8146,-0.0677
-0.1139,0.7992,-0.0682
-0.1207,0.7841,-0.0718
-0.1254,0.7702,-0.074
-0.1298,0.758,-0.0838
-0.1349,0.7418,-0.0884
-0.1391,0.7355,-0.0972
-0.1398,0.7257,-0.108
-0.1415,0.7184,-0.1146
-0.1408,0.7079,-0.1234
-0.1386,0.7044,-0.1324
-0.1384,0.7003,-0.1387
-0.1308,0.6959,-0.1449
-0.1251,0.6974,-0.148
-0.1198,0.7003,-0.147
-0.1141,0.7049,-0.147
-0.1105,0.7093,-0.1466
-0.1058,0.7176,-0.1422
-0.1002,0.7254,-0.1356
-0.0929,0.7333,-0.1295
-0.0868,0.7426,-0.1239
-0.0844,0.7536,-0.1151
-0.0829,0.7655,-0.1062
-0.0792,0.776,-0.0972
-0.0756,0.787,-0.0833
-0.0707,0.7997,-0.0704
-0.0675,0.8156,-0.0589
-0.066,0.8246,-0.0457
-0.0599,0.8364,-0.033
-0.0572,0.8532,-0.0186
-0.0548,0.865,-0.0002
-0.0519,0.8801,0.0135
-0.0521,0.893,0.0276
-0.0538,0.907,0.0464
-0.0531,0.9226,0.0579
-0.0479,0.9341,0.0731
-0.0489,0.9453,0.086
-0.0453,0.9563,0.0963
-0.0453,0.9695,0.1068
-0.0487,0.9839,0.1134
-0.0482,0.9964,0.121
-0.0487,1.0115,0.1251
-0.0477,1.0262,0.1275
-0.0458,1.0333,0.1315
-0.0455,1.0455,0.1312
-0.0438,1.0538,0.128
